targetSide,oriIncrement,correct
-1,20.000,1
-1,7.962,1
-1,3.170,1
-1,1.262,1
-1,0.502,1
-1,0.200,1
-1,0.080,1
-1,0.032,1
-1,0.013,-1
-1,0.020,1
1,0.020,-1
-1,0.032,-1
1,0.050,1
-1,0.050,1
-1,0.050,-1
1,0.080,-1
-1,0.126,1
-1,0.126,1
1,0.126,-1
-1,0.200,1
-1,0.200,1
1,0.200,-1
-1,0.317,1
-1,0.317,1
1,0.317,1
1,0.200,-1
1,0.252,-1
-1,0.317,1
-1,0.317,1
1,0.317,-1
1,0.399,1
1,0.399,-1
-1,0.502,-1
1,0.632,-1
-1,0.796,1
-1,0.796,1
-1,0.796,1
-1,0.632,1
1,0.632,-1
-1,0.710,1
1,0.710,-1
1,0.796,-1
1,0.893,-1
1,1.002,-1
-1,1.125,1
1,1.125,-1
1,1.262,-1
1,1.416,1
-1,1.416,-1
-1,1.589,1
1,1.589,1
-1,1.589,-1
1,1.783,1
-1,1.783,1
1,1.783,1
1,1.589,1
1,1.589,1
1,1.589,1
1,1.416,1
-1,1.416,-1
